,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
0,EU,Europe,ALB,Albania,1987,Female,Age75_79,[75-79],0,0.0,0.0,0.0
1,EU,Europe,ALB,Albania,1987,Female,Age85_over,[85+],1,0.07183908,0.0,15.38461539
2,EU,Europe,ALB,Albania,1989,Female,Age75_79,[75-79],0,0.0,0.0,0.0
3,EU,Europe,ALB,Albania,1989,Female,Age85_over,[85+],0,0.0,0.0,0.0
4,EU,Europe,ALB,Albania,1992,Female,Age80_84,[80-84],0,0.0,0.0,0.0
5,EU,Europe,ALB,Albania,1993,Female,Age85_over,[85+],0,0.0,0.0,0.0
6,EU,Europe,ALB,Albania,1995,Female,Age80_84,[80-84],1,0.10695187,0.0,7.14285714
7,EU,Europe,ALB,Albania,1996,Female,Age80_84,[80-84],1,0.10638298,0.0,7.09219858
8,EU,Europe,ALB,Albania,1998,Female,Age75_79,[75-79],0,0.0,0.0,0.0
9,EU,Europe,ALB,Albania,1999,Female,Age75_79,[75-79],3,0.30959752,0.0,14.35406699
10,EU,Europe,ALB,Albania,1999,Female,Age85_over,[85+],1,0.07513148,0.0,14.28571429
11,EU,Europe,ALB,Albania,2001,Female,Age85_over,[85+],1,0.0694927,0.0,9.77421562
12,EU,Europe,ALB,Albania,2002,Female,Age85_over,[85+],0,0.0,0.0,0.0
13,EU,Europe,ALB,Albania,2003,Female,Age75_79,[75-79],5,0.42158516,0.0,20.53641106
14,EU,Europe,ALB,Albania,2003,Female,Age85_over,[85+],0,0.0,0.0,0.0
15,EU,Europe,ALB,Albania,2004,Female,Age85_over,[85+],0,0.0,0.0,0.0
16,EU,Europe,ALB,Albania,2007,Female,Age75_79,[75-79],0,0.0,0.0,0.0
17,EU,Europe,ALB,Albania,2007,Female,Age85_over,[85+],1,0.05521811,0.0,7.99296619
18,EU,Europe,ALB,Albania,2008,Female,Age75_79,[75-79],2,0.18066847,0.0,6.792094
19,EU,Europe,ALB,Albania,2008,Female,Age85_over,[85+],1,0.04770992,0.0,7.8320802
20,EU,Europe,ALB,Albania,2010,Female,Age80_84,[80-84],1,0.10298661,0.0,5.35188654
21,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age80_84,[80-84],0,0.0,0.0,0.0
22,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age75_79,[75-79],0,0.0,0.0,0.0
23,EU,Europe,ALB,Albania,1987,Female,Age80_84,[80-84],0,0.0,0.0,0.0
24,EU,Europe,ALB,Albania,1989,Female,Age80_84,[80-84],0,0.0,0.0,0.0
25,EU,Europe,ALB,Albania,1992,Female,Age75_79,[75-79],0,0.0,0.0,0.0
26,EU,Europe,ALB,Albania,1992,Female,Age85_over,[85+],0,0.0,0.0,0.0
27,EU,Europe,ALB,Albania,1993,Female,Age80_84,[80-84],0,0.0,0.0,0.0
28,EU,Europe,ALB,Albania,1995,Female,Age75_79,[75-79],1,0.12919897,0.0,5.0
29,EU,Europe,ALB,Albania,1996,Female,Age75_79,[75-79],0,0.0,0.0,0.0
30,EU,Europe,ALB,Albania,1996,Female,Age85_over,[85+],1,0.067659,0.0,14.70588235
31,EU,Europe,ALB,Albania,1998,Female,Age80_84,[80-84],0,0.0,0.0,0.0
32,EU,Europe,ALB,Albania,1999,Female,Age80_84,[80-84],0,0.0,0.0,0.0
33,EU,Europe,ALB,Albania,2002,Female,Age80_84,[80-84],1,0.08396306,0.0,6.71817266
34,EU,Europe,ALB,Albania,2003,Female,Age80_84,[80-84],1,0.06958942,0.0,6.32391071
35,EU,Europe,ALB,Albania,2007,Female,Age80_84,[80-84],2,0.16949153,0.0,12.30920729
36,EU,Europe,ALB,Albania,2008,Female,Age80_84,[80-84],2,0.15612802,0.0,11.65840863
37,EU,Europe,ALB,Albania,2010,Female,Age75_79,[75-79],1,0.12285012,0.0,3.1445552
38,EU,Europe,ALB,Albania,2010,Female,Age85_over,[85+],0,0.0,0.0,0.0
39,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age85_over,[85+],0,0.0,0.0,0.0
40,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age80_84,[80-84],0,0.0,0.0,0.0
41,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age75_79,[75-79],0,0.0,0.0,0.0
42,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age85_over,[85+],0,0.0,0.0,0.0
43,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age85_over,[85+],0,0.0,0.0,0.0
44,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age75_79,[75-79],0,0.0,0.0,0.0
45,EU,Europe,ALB,Albania,1997,Female,Age75_79,[75-79],1,0.12903226,0.0,4.83091787
46,EU,Europe,ALB,Albania,1997,Female,Age80_84,[80-84],0,0.0,0.0,0.0
47,EU,Europe,ALB,Albania,1997,Female,Age85_over,[85+],1,0.07656968,0.0,14.28571429
48,EU,Europe,ALB,Albania,1998,Female,Age85_over,[85+],0,0.0,0.0,0.0
49,EU,Europe,ALB,Albania,2005,Female,Age75_79,[75-79],0,0.0,0.0,0.0
50,EU,Europe,ALB,Albania,2005,Female,Age80_84,[80-84],0,0.0,0.0,0.0
51,EU,Europe,ALB,Albania,2005,Female,Age85_over,[85+],0,0.0,0.0,0.0
52,EU,Europe,ALB,Albania,2009,Female,Age75_79,[75-79],0,0.0,0.0,0.0
53,EU,Europe,ALB,Albania,2009,Female,Age80_84,[80-84],0,0.0,0.0,0.0
54,EU,Europe,ALB,Albania,2009,Female,Age85_over,[85+],0,0.0,0.0,0.0
55,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age85_over,[85+],0,0.0,0.0,0.0
56,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age75_79,[75-79],0,0.0,0.0,0.0
57,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age80_84,[80-84],0,0.0,0.0,0.0
58,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age85_over,[85+],0,0.0,0.0,0.0
59,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age85_over,[85+],0,0.0,0.0,0.0
60,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age75_79,[75-79],0,0.0,0.0,0.0
61,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age80_84,[80-84],0,0.0,0.0,0.0
62,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age85_over,[85+],0,0.0,0.0,0.0
63,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age85_over,[85+],0,0.0,0.0,0.0
64,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age75_79,[75-79],0,0.0,0.0,0.0
65,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age80_84,[80-84],0,0.0,0.0,0.0
66,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age80_84,[80-84],0,0.0,0.0,0.0
67,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age80_84,[80-84],0,0.0,0.0,0.0
